NOC,Year,Total_Medals,Age,Height,Weight,ID,Prev_Medals
DEN,1976,3,29.666666,177.66667,75.0,3,1.0
DEN,1980,5,27.2,177.8,72.2,5,3.0
DEN,1984,6,25.666666,182.83333,76.833336,6,5.0
DEN,1988,4,28.5,183.25,80.75,4,6.0
DEN,1992,6,26.833334,184.0,86.8,6,4.0
DEN,1996,6,26.0,181.0,71.25,6,6.0
DEN,2000,6,29.166666,179.33333,75.333336,6,6.0
DEN,2004,8,28.625,178.875,80.25,8,6.0
DEN,2008,9,29.444445,182.66667,75.44444,9,8.0
DEN,2012,9,27.666666,183.88889,80.77778,9,9.0
DEN,2016,15,25.866667,179.46666,72.4,15,9.0
DJI,1988,1,31.0,180.0,64.0,1,0.0
DOM,1984,1,22.0,175.125,61.0,1,0.0
DOM,2004,1,26.0,178.0,64.0,1,1.0
DOM,2008,2,26.0,164.0,62.0,2,1.0
DOM,2012,2,26.0,175.5,61.0,2,2.0
DOM,2016,1,22.0,183.0,57.0,1,2.0
ECU,1996,1,22.0,167.0,60.0,1,0.0
ECU,2008,1,34.0,167.0,60.0,1,1.0
EGY,1928,4,21.5,181.25333,84.71905,4,0.0
EGY,1936,5,21.6,181.25333,69.2,5,4.0
EGY,1948,5,27.333334,181.25333,63.333332,5,5.0
EGY,1952,1,24.0,181.25333,84.71905,1,5.0
EGY,1984,1,28.0,198.0,140.0,1,1.0
EGY,2004,5,26.8,182.6,81.0,5,1.0
EGY,2008,1,26.0,176.0,90.0,1,5.0
EGY,2012,2,26.5,185.0,85.5,2,1.0
EGY,2016,3,22.333334,164.66667,64.0,3,2.0
ERI,2004,1,22.0,160.0,54.0,1,0.0
ESP,1900,1,26.0,175.99158,69.96921,1,0.0
ESP,1920,2,23.5,175.99158,69.96921,2,1.0
ESP,1928,1,33.0,175.99158,69.96921,1,2.0
ESP,1932,1,45.0,175.99158,69.96921,1,1.0
ESP,1948,1,37.0,175.99158,69.96921,1,1.0
ESP,1952,1,44.0,173.0,72.0,1,1.0
ESP,1960,1,20.0,183.0,67.0,1,1.0
ESP,1972,1,20.0,154.0,48.0,1,1.0
ESP,1976,2,22.0,179.0,73.5,2,1.0
ESP,1980,6,26.333334,178.83333,76.5,6,2.0
ESP,1984,5,23.2,182.6,76.2,5,6.0
ESP,1988,4,25.5,183.75,81.75,4,5.0
ESP,1992,22,23.636364,176.3158,68.73684,22,4.0
ESP,1996,17,25.235294,173.17647,66.52941,17,22.0
ESP,2000,11,26.272728,170.72728,63.0,11,17.0
ESP,2004,20,28.6,175.1,73.65,20,11.0
ESP,2008,18,28.722221,180.55556,75.05556,18,20.0
ESP,2012,17,25.941177,175.52942,66.82353,17,18.0
ESP,2016,17,28.0,178.29411,70.82353,17,17.0
EST,1920,3,24.666666,167.5,67.666664,3,0.0
EST,1924,6,26.333334,172.0,76.2,6,3.0
EST,1928,5,24.8,176.5,120.0,5,6.0
EST,1936,7,28.285715,183.33333,104.0,7,5.0
EST,1992,2,27.5,173.5,69.5,2,7.0
EST,2000,3,27.666666,184.66667,92.333336,3,2.0
EST,2004,3,34.0,193.66667,109.333336,3,3.0
EST,2008,2,29.0,197.0,114.5,2,3.0
EST,2012,2,30.0,194.5,120.5,2,2.0
EST,2016,1,37.0,198.0,104.0,1,2.0
ETH,1960,1,28.0,177.0,57.0,1,0.0
ETH,1964,1,32.0,177.0,57.0,1,1.0
ETH,1968,2,36.0,170.0,54.0,2,1.0
ETH,1972,2,34.0,166.0,53.5,2,2.0
ETH,1980,4,32.0,167.25,54.25,4,2.0
ETH,1992,3,20.0,164.33333,49.0,3,4.0
ETH,1996,3,22.0,159.0,49.0,3,3.0
ETH,2000,8,24.375,164.0,52.125,8,3.0
ETH,2004,7,22.571428,163.57143,50.57143,7,8.0
ETH,2008,7,24.0,163.85715,51.714287,7,7.0
ETH,2012,7,25.285715,168.0,52.142857,7,7.0
ETH,2016,8,25.25,168.625,52.875,8,7.0
